id,categoria,titulo_curto,descricao_objetiva,valor_ou_faixa_prevista,dataset_ou_experimento_alvo,janela_temporal,status,falsificabilidade,dependencias,fonte_interna,fonte_externa,owner,prioridade,next_action,updated_at,mapeamento_id_antigo
RLL59-011,predição,Faixa de c_s² transicional,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,c_s²→0 (z<<z_t) e c_s²→1 (z>>z_t),Euclid+SKA crescimento,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Extrair c_s² efetivo por reconstrução não-paramétrica.,2026-03-05,A3
RLL59-012,predição,Jeans fotônico k_J,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,k_J entre 0.05 e 0.2 h/Mpc no z~0.8,LSST 3x2pt,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Incluir prior de k_J e calcular tensão S8 residual.,2026-03-05,A5
RLL59-013,predição,w_a equivalente,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,w_a equivalente entre -0.8 e -1.2,DESI DR3 + SNe,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,"Mapear (z_t,w_t)→(w0,wa) por emulador.",2026-03-05,D2
RLL59-014,predição,Redução de S8,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,ΔS8 de -0.01 a -0.03,DES Y5 + KiDS,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Rodar cadeia conjunta com nuisance completos.,2026-03-05,D3
RLL59-015,predição,Variação H(z) baixa-z,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,ΔH/H entre -0.5% e -1.5% em z<1,Cosmic chronometers + BAO,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Comparar curva H(z) com reconstrução GP.,2026-03-05,A1
RLL59-016,predição,Lensing cluster com plasma,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,ΔM_lensing até 5% em clusters quentes,eROSITA + weak lensing,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Testar correlação massa-temperatura com termo 3p/c².,2026-03-05,D5
RLL59-017,predição,Anisotropia quadrupolar residual,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,A2 < 3e-3 após termo dipolar,Catálogo rádio+óptico full-sky,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Ajustar multipolos l<=3 no modelo anisotrópico.,2026-03-05,D7
RLL59-018,emergente,Operador EFT estável sem ghost,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-019,emergente,Prior térmico α_T para pré-recombinação,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-020,emergente,Canal de polarização CMB para Ωs₀,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-021,emergente,Cross-correlacao ISW×BAO RLL,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-022,emergente,Consistência N_eff com ΩP₀,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-023,emergente,Termo magneto-coerente α_B calibrável,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-024,emergente,Expoente β em filamentos galácticos,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-025,emergente,Acoplamento B-campo em halos massivos,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-026,emergente,Relação spin-filamento prevista,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-027,emergente,Módulo AGN duty-cycle desacoplado de FRW,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-028,emergente,Validação FRW mínimo sem ε_feedback,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-029,emergente,Assinatura em função de massa de halo,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-030,emergente,Escalonamento barions/plasma em z alto,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-031,emergente,Entropia de von Neumann em z_t,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-032,emergente,Máximo entrópico em f=1/2,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-033,emergente,Observável ICC para coerência cosmológica,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-034,emergente,Mapa de risco de degenerescência Ωs₀-Ωm,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-035,emergente,Tabela de priors canônicos consolidada,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-036,emergente,Conversor CPL↔logístico publicado,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-037,emergente,Checklist reprodutibilidade de cadeias,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-038,emergente,Versão pública de likelihood RLL,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-039,emergente,Validação cruzada com Pantheon+,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-040,emergente,Validação cruzada com chronometers,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-041,emergente,Validação cruzada com BAO Lyα,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-042,emergente,Teste de robustez a escolha de binning,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-043,emergente,Curadoria de sistemáticos DR2,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-044,emergente,Curadoria de sistemáticos Euclid,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-045,emergente,Curadoria de sistemáticos LSST,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-046,emergente,Análise de sensibilidade de ΩB₀,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
